# charactristic, type, id, mat1, mat2, tmat, weight, delta
a9fa08434dc6f212ec33899442a701d5,64,0,5d810bb0,e3f0b8fc,b35ac67fffffffbc,57,0
c94bb648a5eeead3bc5fb51ef277f08f,64,0,451908a3,e33438cd,2cc03d7ffbffeffe,75,0
8f20c42c8e47c6cd9deb0fcf72826dc5,64,0,1fc303f8,e1e0b878,9405a7ff6ffeffbc,65,0
82823a6ac5d7b4ec48c761d885367a65,64,0,39e5073c,e0d0b834,ad40bd77ffbefffe,61,0
a9c8b5c77f830876141a92bd2d30f363,64,0,c2191843,df30b7cc,f006a277ffbefffe,63,0
fba5570187e82644719c1bbc7f19a9ff,64,0,c59e18b3,df0c37c3,6c0ff6ffefbefffe,69,0
f607a947cc785465a4b075ab88adbe5f,64,0,e3b81c77,de3c378f,5db05b6fcfffeffe,67,0
c3ad165d061a520d6365a056ff8bbd79,64,0,58030b00,dbe436f9,6f98a76fffbefffa,65,1
a6d174c53ed32f5d1243c1d052b605f5,64,0,5d860bb0,dbc8b6f2,b8931bb67ebf3ffe,63,0
a844da27fa8581ade61d7604c4b93655,64,0,7aa10f54,daf0b6bc,59a139ef7fbffffe,61,0
